Stock,Total_Return_%,Volatility,Sharpe,Sortino,Max_Drawdown
SHREECEM,43005.019305019305,0.38966486204162987,0.8527729625525369,1.3370447500727929,-0.7997340264764553
BAJFINANCE,10642.660098522167,0.4866091816736541,0.6985111208913772,0.8374261343736908,-0.9328201662380522
EICHERMOT,4857.3183213920165,0.4803993247111529,0.6183187687794236,0.7677258060942584,-0.9382370796620408
MARUTI,3829.1844187461957,0.34480619615931346,0.6334863673499578,0.9414226680148733,-0.6133966466361308
INDUSINDBK,3129.533678756477,0.5070560424061559,0.508504760576427,0.6793120035756445,-0.8510664590593413
AXISBANK,2577.5280898876404,0.4848304407856876,0.5089012567597859,0.6402681392016497,-0.8501742160278744
ULTRACEMCO,2313.1245196003074,0.33264711113350776,0.5981006644202295,0.9171114712706718,-0.7777968501909621
BAJAJFINSV,2068.856806128462,0.4009395792068001,0.6812710617912214,0.9580598764014506,-0.8678943154523618
BHARTIARTL,1110.2593010146559,0.3998991896178816,0.41073479962184645,0.5852500413380071,-0.784746590858615
TITAN,858.0282594733463,0.49996801954205544,0.5080646244096848,0.6191454994419645,-0.966868875408306
HDFCBANK,730.7647058823529,0.38050039063047153,0.3915003631359737,0.41240956121103756,-0.841764751734352
HDFC,724.5655877342418,0.4142103774689089,0.38920511078658754,0.4344046692825866,-0.8147414430136947
ICICIBANK,703.3444816053512,0.4758964260962293,0.38834954747680395,0.48400947124126115,-0.897998996711443
RELIANCE,692.4116011124354,0.3815265303616211,0.33609812872388223,0.3875274972921791,-0.7900864678578633
KOTAKBANK,662.5027250926532,0.5194870275937643,0.40340869234959725,0.4368716291399148,-0.889451305932375
TATASTEEL,578.2551656280748,0.44192636231665183,0.3162843332548197,0.44068684931155133,-0.8495297805642631
ASIANPAINT,564.5879732739421,0.3548751263061114,0.430357518835113,0.415123611816816,-0.9248048186299899
NESTLEIND,553.7690658008137,0.24226091302373795,0.6106830767900608,0.9559792594198459,-0.3240105825819344
BAJAJ-AUTO,533.9396444811905,0.3388339741995848,0.4676210367705001,0.5451903567411521,-0.599151131824235
BRITANNIA,355.6744616197648,0.3356859094055832,0.29996623083232216,0.3087370420747723,-0.8536304097130049
DRREDDY,242.3238852975303,0.3690254610467925,0.22528779803403,0.2573960346876494,-0.8130794412374737
GRASIM,219.81519507186857,0.39558316075988087,0.2685723190775439,0.3019632108052248,-0.9243109286619625
TCS,207.26757426995292,0.3769441452959109,0.2710474141882973,0.27794228747761396,-0.8205949992660369
HEROMOTOCO,133.4506459092415,0.3881900619303896,0.22569912628939898,0.2661675636021392,-0.9098984281466033
VEDL,121.10012892135798,0.5684109892224123,0.3959359384987987,0.4873532285335466,-0.9858316836241425
POWERGRID,118.73757455268392,0.2971186445758385,0.17825888643048984,0.24850336737977544,-0.6412001237240952
LT,110.77914930419057,0.40936085068096184,0.21662396780322188,0.2440784408268011,-0.8752856857567621
GAIL,99.70887918486169,0.4030958254179276,0.17751974507191015,0.21276415342342542,-0.8723325974981595
JSWSTEEL,83.9933358964501,0.5232141855101093,0.3588529451767216,0.4224443788522685,-0.9244584038012401
TECHM,73.27920613441587,0.44426576736968015,0.2511260973340772,0.2852957944486053,-0.8943356219709209
M&M,65.99757361861694,0.4418996592802375,0.18382913859965938,0.21371535557973517,-0.9207708779443254
SBIN,45.08516314385388,0.42609248261930505,0.24564257058410074,0.28195024886629677,-0.956775885041333
NTPC,35.6055592322965,0.3019244002475189,0.0477856370095641,0.06891231536421466,-0.7316002107851755
TATAMOTORS,35.570934256055374,0.48807329578532105,0.22132308602507153,0.2766884085027229,-0.95216642859759
UPL,9.588299024918747,0.477055228322367,0.2066277881406164,0.23171270279431677,-0.9253084865273232
BPCL,5.648090169067004,0.4681564738205176,0.15592131312252244,0.1840502297345266,-0.773052148592605
HINDUNILVR,2.0021234642802894,0.3577123608966777,0.16981636156386998,0.18159565591133903,-0.9662077198567448
ADANIPORTS,-24.182158064181124,0.4821083495162813,0.17106406878104888,0.19681158128256765,-0.9173964587555927
CIPLA,-37.53387998764881,0.3870612441397589,0.08209527731647963,0.08539562054663796,-0.8907353693908892
HCLTECH,-42.16925600694779,0.5162707037090037,0.13784983608745074,0.15439647900636216,-0.9681818987992835
ONGC,-49.332396345748414,0.4168034010049091,0.05800272470864555,0.06589264357833627,-0.959574181377173
HINDALCO,-57.991815090206934,0.47070599338455493,0.1403335532983324,0.16583948761261041,-0.9746027434469645
COALINDIA,-61.158954897095306,0.2982623958424904,-0.3260899103341838,-0.4848796442612885,-0.7506765899864675
SUNPHARMA,-64.33612163156317,0.46231463230303754,0.10948598031415677,0.10632950942841371,-0.9070559610705596
IOC,-66.45744877238324,0.4209663468025592,-0.005310891576128171,-0.0059149142691966895,-0.9099943392666201
ITC,-71.40437544107269,0.3912505729387594,0.07963717719674315,0.0779686949589907,-0.9404927581052522
WIPRO,-81.91212098964834,0.48592483092938965,0.010026022337099323,0.010743041782542725,-0.9830664045184069
ZEEL,-84.27051993728548,0.5258437434361128,0.008487088404847534,0.011144288134333737,-0.9595900629175587
INFY,-91.33227094693189,0.47690265320204656,-0.041837498620977034,-0.04022754914493731,-0.9687676125273642
